Cornell.Accession.Number,Cornell.ID,WolfID,Date.Capture.Death,Year.data.reflects,Sex,Pelt.Color,Recollared,Pack,Location.of.first.capture,Northern.Range.Pack,YNP,Previously.Vaccinated,CDV_simplified
82744-12,62,821F,2/4/2012,2011,Female,Gray,Adult,EIGHT MILE,YNP,1,1,0,24
66418-08,51,115F,2/1/1999,1998,FEMALE,GRAY,NO,CHIEF JOSEPH,YNP,0,1,0,6
66418-08,62,147M,2/1/1999,1998,MALE,GRAY,NO,CHIEF JOSEPH,YNP,0,1,0,6
66418-08,119,248M,2/2/2002,2001,MALE,GRAY,NO,CHIEF JOSEPH,YNP,0,1,0,6
66416-08,27,546M,2/8/2006,2005,MALE,GRAY,NO,COUGAR CREEK II,YNP,0,1,0,192
66418-08,75,187F,1/13/2000,1999,FEMALE,BLACK,NO,CHIEF JOSEPH,YNP,0,1,0,6
66418-08,73,164M,1/13/1999,1998,MALE,BLACK,NO,SHEEP MOUNTAIN,YNP,1,1,0,6
66418-08,74,165M,1/13/1999,1998,MALE,BLACK,NO,SHEEP MOUNTAIN,YNP,1,1,0,6
66418-08,113,241M,10/13/2001,2001,MALE,GRAY,NO,SHEEP MOUNTAIN,Non-YNP,1,0,0,6
66418-08,76,188F,1/19/2000,1999,FEMALE,GRAY,NO,SHEEP MOUNTAIN,YNP,1,1,0,256
66418-08,77,189M,1/19/2000,1999,MALE,GRAY,NO,SHEEP MOUNTAIN,YNP,1,1,0,192
66418-08,83,195M,5/25/2000,2000,MALE,BLACK,NO,SHEEP MOUNTAIN,Non-YNP,0,0,0,768
66418-08,84,196M,5/25/2000,2000,MALE,BLACK,NO,SHEEP MOUNTAIN,Non-YNP,0,0,0,512
66418-08,23,048F,3/15/1997,1996,FEMALE,GRAY,NO,NEZ PERCE,"Fishtail, MT-transported to YNP Nez Perce pen",0,1,1,12
66418-08,16,037F,6/17/1996,1996,FEMALE,GRAY,YES,NEZ PERCE,CANADA,0,1,1,192
66418-08,133,285M,12/9/2002,2002,MALE,GRAY,NO,LONE BEAR,Non-YNP,0,0,0,16
66418-08,13,027F,1/16/1997,1996,FEMALE,GRAY,YES,NEZ PERCE,CANADA,0,1,1,128
NA,NA,108M,9/3/1997,1997,MALE,BLACK,NO,CHIEF JOSEPH,YNP,0,1,0,12
66418-08,50,113M,2/10/1999,1998,MALE,GRAY,NO,CHIEF JOSEPH,YNP,0,1,0,6
66418-08,14,033F,3/20/1998,1997,FEMALE,BLACK,YES,CHIEF JOSEPH,CANADA,0,1,1,384
NA,NA,063F,8/30/1996,1996,FEMALE,GRAY,NO,SAWTOOTH,"W Augusta, MT-transported to Rose Creek pen",0,0,1,12
66418-08,28,064F,8/30/1996,1996,FEMALE,GRAY,NO,SAWTOOTH,"W Augusta, MT-transported to Rose Creek pen",0,0,1,6
66418-08,29,065F,8/30/1996,1996,FEMALE,GRAY,NO,SAWTOOTH,"W Augusta, MT-transported to Rose Creek pen",0,0,1,6
66418-08,30,066M,8/30/1996,1996,MALE,BLACK,NO,SAWTOOTH,"W Augusta, MT-transported to Rose Creek pen",0,0,1,6
66418-08,31,067F,9/9/1996,1996,FEMALE,BLACK,NO,SAWTOOTH,"W Augusta, MT-transported to Rose Creek pen",0,0,1,6
66418-08,32,068F,9/9/1996,1996,FEMALE,GRAY,NO,SAWTOOTH,"W Augusta, MT-transported to Rose Creek pen",0,0,1,6
66418-08,33,069M,9/9/1996,1996,MALE,GRAY,NO,SAWTOOTH,"W Augusta, MT-transported to Rose Creek pen",0,0,1,6
66418-08,34,070M,9/9/1996,1996,MALE,GRAY,NO,SAWTOOTH,"W Augusta, MT-transported to Rose Creek pen",0,0,1,6
66418-08,35,071F,9/9/1996,1996,FEMALE,BLACK,NO,SAWTOOTH,"W Augusta, MT-transported to Rose Creek pen",0,0,1,6
66418-08,36,072M,1/20/2000,1999,MALE,GRAY,YES,NEZ PERCE,"W Augusta, MT-transported to Rose Creek pen",0,1,1,128
66418-08,43,Big Sandy,2/15/1997,1996,NA,NA,NA,NA,Non-YNP,NA,NA,1,6
NA,NA,Big Sandy,7/30/1997,1997,NA,NA,NA,NA,Non-YNP,NA,NA,1,12
