"UID","left","right","TestR","Sex","Age","UTM_X","UTM_Y","NR_Bears"
"G138","1994-03-15","2009-05-23","P","M",15,601000,4945000,1
"G139","2007-03-15","2009-05-23","N","M",2,598000,4827000,0
"G141","2005-03-15","2009-06-07","N","M",4,643000,4978000,1
"G141","2009-06-07","2011-10-17","N","M",6,532000,5039000,1
"G145","2008-03-15","2009-06-28","N","M",1,618000,4899000,0
"G146","2004-03-15","2011-07-16","N","M",7,585000,4805000,0
"G147","2006-03-15","2009-09-15","N","M",3,645000,4843000,0
"G151","2006-03-15","2010-05-15","N","M",4,607000,4919000,0
"G152","2006-03-15","2010-05-19","N","F",4,643000,4978000,1
"G152","2010-05-19","2011-07-27","N","F",5,579000,4803000,0
"G154","2007-03-15","2010-08-19","N","F",3,580000,4844000,0
"G155","2008-03-15","2010-07-30","N","M",2,579000,4794000,0
"G155","2010-07-30","2013-06-02","N","M",5,611000,4841000,0
"G156","2009-03-15","2010-08-03","N","M",1,580000,4831000,0
"G157","2009-03-15","2010-08-03","N","M",1,580000,4831000,0
"G162","2009-03-15","2010-09-17","N","F",1,631000,4913000,0
"G163","2009-03-15","2010-09-17","N","F",1,631000,4913000,0
"G164","2009-03-15","2010-09-25","N","M",1,648000,4922000,0
"G165","2010-03-15","2010-10-05","N","M",0.5,518000,4991000,1
"G166","2010-03-15","2010-10-05","N","M",0.5,518000,4991000,1
"G167","2009-03-15","2010-11-04","N","M",1,641000,4958000,1
"G168","2006-03-15","2011-06-20","N","M",5,651000,4871000,0
"G169","2007-03-15","2011-06-21","N","M",4,640000,4877000,0
"G170","2006-03-15","2011-06-26","N","M",5,646000,4871000,0
"G173","2009-03-15","2011-08-24","N","M",2,642000,4832000,0
"G174","2010-03-15","2011-09-01","N","M",1,595000,4824000,0
"G174","2011-09-01","2012-09-07","N","M",2,663000,4953000,1
"G175","2011-03-15","2011-10-09","N","F",0,643000,4978000,1
"G176","2011-03-15","2011-10-09","N","F",0,643000,4978000,1
"G177","2011-03-15","2011-10-10","N","F",0,643000,4978000,1
"G178","2010-03-15","2011-10-14","N","M",1,620000,4905000,0
"G178","2011-10-14","2013-09-05","N","M",3,604000,4823000,0
"G179","2010-03-15","2011-10-14","N","M",1,620000,4905000,0
"G180","2009-03-15","2012-06-18","N","M",3,560000,4852000,0
"G183","2011-03-15","2012-08-15","N","F",1,639000,4963000,1
"G187","2009-03-15","2012-09-21","N","M",3,637000,4931000,0
"G188","2010-03-15","2012-10-01","N","M",2,609000,4924000,0
"G189","2012-03-15","2013-05-25","N","M",1,677000,4901000,0
"G190","2012-03-15","2013-05-25","N","F",1,677000,4901000,0
"G191","2010-03-15","2013-05-31","N","M",3,611000,4841000,0
"G192","2011-03-15","2013-06-08","N","M",2,615000,4896000,0
"G193","2011-03-15","2013-10-14","N","M",2,638000,4920000,0
"G198","2013-03-15","2014-09-30","N","M",1,635000,4977000,1
"G199","2013-03-15","2014-09-30","N","F",1,635000,4977000,1
"G200","2013-03-15","2014-11-03","N","M",1,648000,4975000,1
