"","UID","sex","left","right","TestR"
"474","740","M",2006-04-15,2013-05-06,"N"
"475","741","F",2009-04-15,2013-05-22,"N"
"476","742","M",2009-04-15,2013-05-24,"N"
"477","743","F",2003-04-15,2013-05-25,"N"
"478","744","M",2008-04-15,2013-05-26,"N"
"479","745","M",2010-04-15,2013-05-31,"P"
"480","747","F",2010-04-15,2013-06-04,"N"
"481","748","M",2010-04-15,2013-06-07,"N"
"482","749","F",2009-04-15,2013-06-12,"N"
"483","750","M",2007-04-15,2013-06-19,"N"
"484","751","M",2009-04-15,2013-06-21,"N"
"485","752","M",2010-04-15,2013-06-23,"N"
"486","753","M",2010-04-15,2013-06-24,"N"
"487","754","M",2004-04-15,2013-06-25,"N"
"488","755","F",2011-04-15,2013-06-25,"N"
"491","758","M",2007-04-15,2013-07-21,"N"
"492","759","F",2008-04-15,2013-07-23,"N"
"497","762","F",2007-04-15,2013-08-06,"N"
"498","763","M",2003-04-15,2013-08-14,"N"
"499","764","M",2001-04-15,2013-09-01,"N"
"502","766","M",2004-04-15,2013-09-18,"N"
"503","767","F",2011-04-15,2013-09-23,"N"
"504","768","F",2006-04-15,2013-09-27,"N"
"505","769","M",2009-04-15,2013-09-28,"N"
"506","770","F",2006-04-15,2013-10-10,"N"
"507","771","F",2009-04-15,2013-10-09,"N"
"508","785","M",2002-04-15,2014-07-28,"P"
"509","787","M",2013-04-15,2014-08-08,"N"
"513","G087","M",1996-04-15,2003-05-16,"N"
"514","G096","F",2001-04-15,2004-09-07,"N"
"515","G112","M",2004-04-15,2014-08-02,"N"
"516","G115","M",2004-04-15,2007-05-08,"N"
"517","G120","M",2001-04-15,2011-09-20,"N"
"518","G129","M",2003-04-15,2008-08-09,"N"
"519","G131","F",2007-04-15,2012-09-16,"N"
"520","G135","M",1995-04-15,2009-05-12,"N"
"521","G138","M",1994-04-15,2009-05-23,"P"
"522","G139","M",2007-04-15,2009-05-23,"N"
"523","G141","M",2005-04-15,2011-10-17,"N"
"524","G143","M",2006-04-15,2009-06-11,"N"
"525","G145","M",2008-04-15,2009-06-28,"N"
"526","G146","M",2004-04-15,2011-07-16,"N"
"527","G147","M",2006-04-15,2009-09-15,"N"
"528","G151","M",2006-04-15,2010-05-15,"N"
"531","G154","F",2007-04-15,2010-08-19,"N"
"534","G156","M",2009-04-15,2010-08-03,"N"
"535","G157","M",2009-04-15,2010-08-03,"N"
"536","G162","F",2009-04-15,2010-09-17,"N"
"537","G163","F",2009-04-15,2010-09-17,"N"
"538","G164","M",2009-04-15,2010-09-25,"N"
"539","G165","M",2010-04-15,2010-10-05,"N"
"540","G166","M",2010-04-15,2010-10-05,"N"
"541","G167","M",2009-04-15,2010-11-04,"N"
"542","G168","M",2006-04-15,2011-06-20,"N"
"543","G169","M",2007-04-15,2011-06-21,"N"
"544","G170","M",2006-04-15,2011-06-26,"N"
"545","G173","M",2009-04-15,2011-08-24,"N"
"548","G175","F",2011-04-15,2011-10-09,"N"
"549","G176","F",2011-04-15,2011-10-09,"N"
"550","G177","F",2011-04-15,2011-10-10,"N"
"553","G179","M",2010-04-15,2011-10-14,"N"
"554","G180","M",2009-04-15,2012-06-18,"N"
"555","G183","F",2011-04-15,2012-08-15,"N"
"556","G187","M",2009-04-15,2012-09-21,"N"
"557","G188","M",2010-04-15,2012-10-01,"N"
"558","G189","M",2012-04-15,2013-05-25,"N"
"559","G190","F",2012-04-15,2013-05-25,"N"
"560","G191","M",2010-04-15,2013-05-31,"N"
"561","G192","M",2011-04-15,2013-06-08,"N"
"562","G193","M",2011-04-15,2013-10-14,"N"
"563","G198","M",2013-04-15,2014-09-30,"N"
"564","G199","F",2013-04-15,2014-09-30,"N"
"565","G200","M",2013-04-15,2014-11-03,"N"
"11","125","F",1983-04-15,1993-07-29,"P"
"12","155","M",1986-04-15,2004-10-11,"P"
"13","179","F",1989-04-15,2001-05-26,"P"
"14","193","F",1986-04-15,1991-09-29,"P"
"16","196","F",1985-04-15,2000-07-17,"P"
"17","204","M",1990-04-15,2007-10-13,"P"
"18","211","M",1990-04-15,2011-09-15,"N"
"21","211","M",2011-09-16,2013-09-19,"N"
"19","213","F",1992-04-15,1998-07-12,"N"
"22","213","F",1998-07-13,2002-06-01,"N"
"110","214","F",1992-04-15,1997-10-23,"N"
"211","214","F",1997-10-24,2002-10-17,"N"
"111","219","M",1990-04-15,1997-10-23,"N"
"212","219","M",1997-10-24,1999-06-30,"P"
"114","227","M",1992-04-15,2009-10-21,"N"
"213","227","M",2009-10-22,2010-10-15,"N"
"38","227","M",2010-10-16,2012-06-24,"N"
"115","260","M",1991-04-15,1998-10-18,"P"
"117","279","F",1993-04-15,2008-08-28,"N"
"214","279","F",2008-08-29,2010-08-03,"N"
"118","281","M",1992-04-15,2002-09-23,"N"
"223","281","M",2002-09-24,2011-09-04,"P"
"119","287","M",1989-04-15,1999-10-10,"P"
"120","289","F",1994-04-15,1998-07-24,"N"
"224","289","F",1998-07-25,2007-08-13,"N"
"121","295","F",1993-04-15,1999-10-08,"P"
"122","318","M",1993-04-15,1998-08-28,"P"
"125","321","F",1992-04-15,1999-06-24,"P"
"126","325","F",1996-04-15,1998-11-10,"N"
"225","325","F",1998-11-11,1999-07-13,"P"
"127","337","F",1997-04-15,1999-06-10,"N"
"226","337","F",1999-06-11,2004-08-30,"N"
"39","337","F",2004-08-31,2010-06-26,"N"
"128","338","M",1995-04-15,1999-06-18,"N"
"234","338","M",1999-06-19,2006-10-20,"P"
"129","343","M",1996-04-15,2000-05-10,"N"
"235","343","M",2000-05-11,2012-09-12,"N"
"130","349","F",1994-04-15,1999-09-16,"P"
"131","360","F",1996-04-15,2001-07-09,"P"
"132","363","M",1998-04-15,2006-10-06,"N"
"238","363","M",2006-10-07,2007-06-06,"N"
"311","363","M",2007-06-07,2008-09-25,"N"
"133","373","M",1998-04-15,2001-10-04,"N"
"239","373","M",2001-10-05,2005-07-28,"P"
"134","377","M",1995-04-15,2001-05-04,"N"
